ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
20419,100949,2,14,70000,1,0,City road (municipality),Dry,Straight way,Bright,Day,672661,1841492,16.64960228,100.6189347,Male,44,Injured,1071,1071,motorcycle
20428,100958,4,6,60000,0,0,Roads in Village,Dry,Straight way,Bright,Day,672661,1841492,16.64960228,100.6189347,Female,8,Injured,1071,0,motorcycle
20434,100958,4,5,0,0,0,City road (municipality),Wet,Straight way,Bright,Day,637161,1832091,16.56697072,100.2855766,Male,19,Injured,1071,1071,motorcycle
20557,100946,4,6,0,0,0,Highways Road,Dry,Straight way,Bright,Day,671589,1829727,16.54336817,100.6080018,Male,63,Injured,1071,1071,Bus
21300,100958,4,6,65000,0,0,Highways Road,Dry,Straight way,Bright,Day,653222,1861321,16.83013777,100.4380556,Male,79,Injured,1071,1071,motorcycle
21500,100949,8,13,59000,1,0,City road (municipality),Wet,Straight way,Bright,Day,653222,1861321,16.83013777,100.4380556,Male,4,Injured,1071,1071,Sedan/Taxi
21509,100959,8,14,10000,1,0,Highways Road,Wet,Straight way,Bright,Day,629048,1853739,16.76307666,100.2107777,Male,7,Injured,1071,1071,motorcycle
21823,100951,11,14,100000,1,0,Rural Roads,Dry,Straight way,Bright,Day,675169,1833101,16.57359504,100.6417992,Male,20,Injured,1071,1071,motorcycle
21989,100958,4,5,0,0,0,City road (municipality),Dry,Straight way,Bright,Day,619352,1891212,17.10226683,100.1218242,Female,16,Injured,1071,0,motorcycle
22048,100949,8,15,60000,1,0,Rural Roads,Dry,Straight way,Bright,Day,619352,1891212,17.10226683,100.1218242,Female,17,Injured,1071,1071,motorcycle
22080,100956,1,7,650,0,0,Highways Road,Dry,Straight way,Bright,Day,672100,1830312,16.54861747,100.6128331,Male,14,Injured,1071,1071,motorcycle
23386,100955,8,14,70000,1,0,Roads in Village,Dry,Straight way,Bright,Day,635651,1860118,16.82035374,100.273103,Female,15,Injured,1071,1071,motorcycle
23985,100955,8,15,5000,1,0,Roads in Village,Dry,Straight way,Bright,Day,638412,1829362,16.54223441,100.2971348,Female,9,Injured,1071,1071,Bus
24004,100963,12,14,50000,1,0,Roads in Village,Wet,Straight way,Bright,Day,634406,1860715,16.82582115,100.2614562,Female,17,Injured,1071,1071,Sedan/Taxi
24065,100949,3,14,59800,1,0,City road (municipality),Wet,Straight way,Bright,Day,638412,1829362,16.54223441,100.2971348,Male,6,Injured,1071,1071,motorcycle
24165,100950,12,14,60000,1,0,Roads in Village,Dry,Straight way,Bright,Day,638412,1829362,16.54223441,100.2971348,Male,41,Injured,1071,1071,Sedan/Taxi
24167,100950,12,14,90000,1,0,City road (municipality),Dry,Straight way,Bright,Day,641412,1859515,16.81456234,100.3271225,Female,28,Injured,1071,1071,motorcycle
24425,100952,2,14,80000,1,0,Highways Road,Dry,Straight way,Bright,Day,664135,1863269,16.84699837,100.5405953,Female,19,Injured,1071,1071,pick up
25443,100949,7,15,70000,1,0,City road (municipality),Dry,Straight way,Bright,Day,664135,1863269,16.84699837,100.5405953,Female,16,Injured,1071,1071,pick up
25463,100958,4,5,0,0,0,City road (municipality),Dry,Straight way,Bright,Day,634758,1860444,16.82335169,100.2647431,Female,19,Died later,1071,1071,motorcycle
25660,100956,12,5,0,0,0,Roads in Village,Dry,Straight way,Bright,Day,632722,1862151,16.83889547,100.2457388,Male,20,Injured,1071,1071,Van
25778,100958,4,6,500000,0,0,City road (municipality),Dry,Straight way,Bright,Day,664135,1863269,16.84699837,100.5405953,Male,41,Injured,1071,1071,motorcycle
25779,100950,4,6,60000,0,0,Rural Roads,Dry,Straight way,Bright,Day,627889,1866455,16.87806378,100.2006288,Male,72,Died later,1071,1071,motorcycle
26030,100949,4,6,65000,0,0,City road (municipality),Dry,Straight way,Bright,Day,640373,1882647,17.02367389,100.3188278,Male,14,Injured,1071,1071,motorcycle
26220,100955,1,7,0,0,0,Roads in Village,Dry,Straight way,Bright,Day,640373,1882647,17.02367389,100.3188278,Male,14,Injured,1071,1071,motorcycle
26424,100950,1,7,0,0,0,Highways Road,Dry,Straight way,Bright,Day,653222,1859762,16.81604934,100.4379494,Male,20,Injured,1071,1071,motorcycle
26433,100950,1,7,0,0,0,Highways Road,Dry,Straight way,Bright,Day,654781,1858592,16.80537345,100.4524963,Male,43,Injured,1071,1071,Bus
26646,100949,4,6,65000,0,0,Rural Roads,Dry,Straight way,Bright,Day,670371,1886654,17.05785876,100.6008992,Male,54,Injured,1071,1071,motorcycle
